consensus_type,validator_count,offered_load_tps,validator_failure_rate,malicious_validator_ratio,throughput_tps,confirmation_latency_ms,p95_confirmation_latency_ms,consensus_success_rate,failed_tx_rate,finality_delay_ms,communication_overhead_normalized,benchmark_type
poa_like,32,50,0.05,0.1,0.0,785.3499900560001,1452.8974737501005,0.0,1.0,863.8849890616002,2.0,consensus_scalability_simulation
poa_like,32,50,0.05,0.25,0.0,853.1499900560001,1578.3274730721005,0.0,1.0,938.4649890616001,2.0,consensus_scalability_simulation
poa_like,32,50,0.1,0.0,49.47919735422283,259.9,350.865,0.775,0.22499999999999998,285.89,2.0,consensus_scalability_simulation
poa_like,32,50,0.1,0.1,0.0,802.2999900560001,1484.2549735806003,0.0,1.0,882.5299890616002,2.0,consensus_scalability_simulation
poa_like,32,50,0.1,0.25,0.0,870.099990056,1609.6849729026003,0.0,1.0,957.1099890616001,2.0,consensus_scalability_simulation
poa_like,32,50,0.2,0.0,50.00596932438869,293.8,396.63000000000005,0.55,0.44999999999999996,323.18000000000006,2.0,consensus_scalability_simulation
poa_like,32,50,0.2,0.1,0.0,836.199990056,1546.9699732416002,0.0,1.0,919.8199890616002,2.0,consensus_scalability_simulation
poa_like,32,50,0.2,0.25,0.0,903.999990056,1672.3999725636002,0.0,1.0,994.3999890616001,2.0,consensus_scalability_simulation
poa_like,32,100,0.0,0.0,97.93213797379613,226.0,305.1,1.0,0.0,248.60000000000002,2.0,consensus_scalability_simulation
poa_like,32,100,0.0,0.1,0.0,768.399995028,1421.5399869598002,0.0,1.0,845.2399945308001,2.0,consensus_scalability_simulation
poa_like,32,100,0.0,0.25,0.0,836.199995028,1546.9699866208,0.0,1.0,919.8199945308,2.0,consensus_scalability_simulation
poa_like,32,100,0.05,0.0,98.99315017562242,242.95,327.9825,0.8875,0.11250000000000004,267.245,2.0,consensus_scalability_simulation
poa_like,32,100,0.05,0.1,0.0,785.3499950280001,1452.8974868750502,0.0,1.0,863.8849945308002,2.0,consensus_scalability_simulation
poa_like,32,100,0.05,0.25,0.0,853.149995028,1578.3274865360502,0.0,1.0,938.4649945308001,2.0,consensus_scalability_simulation
poa_like,32,100,0.1,0.0,102.1109082993348,259.9,350.865,0.775,0.22499999999999998,285.89,2.0,consensus_scalability_simulation
poa_like,32,100,0.1,0.1,0.0,802.299995028,1484.2549867903,0.0,1.0,882.5299945308001,2.0,consensus_scalability_simulation
poa_like,32,100,0.1,0.25,0.0,870.099995028,1609.6849864513001,0.0,1.0,957.1099945308,2.0,consensus_scalability_simulation
poa_like,32,100,0.2,0.0,99.05192116909764,293.8,396.63000000000005,0.55,0.44999999999999996,323.18000000000006,2.0,consensus_scalability_simulation
poa_like,32,100,0.2,0.1,0.0,836.199995028,1546.9699866208,0.0,1.0,919.8199945308,2.0,consensus_scalability_simulation
poa_like,32,100,0.2,0.25,0.0,903.999995028,1672.3999862818,0.0,1.0,994.3999945308,2.0,consensus_scalability_simulation
poa_like,32,200,0.0,0.0,199.92966824433546,226.0,305.1,1.0,0.0,248.60000000000002,2.0,consensus_scalability_simulation
poa_like,32,200,0.0,0.1,0.0,768.3999975140001,1421.5399934799002,0.0,1.0,845.2399972654002,2.0,consensus_scalability_simulation
poa_like,32,200,0.0,0.25,0.0,836.1999975140001,1546.9699933104002,0.0,1.0,919.8199972654002,2.0,consensus_scalability_simulation
poa_like,32,200,0.05,0.0,201.36435248899076,242.95,327.9825,0.8875,0.11250000000000004,267.245,2.0,consensus_scalability_simulation
poa_like,32,200,0.05,0.1,0.0,785.3499975140002,1452.8974934375253,0.0,1.0,863.8849972654002,2.0,consensus_scalability_simulation
poa_like,32,200,0.05,0.25,0.0,853.1499975140001,1578.3274932680254,0.0,1.0,938.4649972654003,2.0,consensus_scalability_simulation
